City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
College Station,TX,50.6,55.73,59.87,68.2,77.07,81.6,85.03,88,84.8,71.3,58.87,56
Dallas,TX,46.06,50,55,65.61,73.74,79.53,84.51,87.4,84.83,65.28,53.68,50.49
Houston,TX,53.58,59.73,61.87,68.79,78.17,82.3,84.31,85.92,83.72,72.18,60.04,57.59
Killeen,TX,48.3,53,56.33,66.67,74.3,80.2,83.4,87.33,84.83,67.8,55.47,51.5
McAllen,TX,60.08,65.19,68.58,74.19,83.71,88.01,87.81,90.83,86.22,78.43,66.86,63.7
San Antonio,TX,52.66,57.22,60.94,67.62,77.37,82.07,83.82,87.99,85.19,70.67,57.05,54.7
Sherman,TX,42.3,45.17,52.2,62.9,70.17,77.3,81.63,83.67,81.6,62.3,49.93,47.03
Midland,TX,46.25,51.03,54.1,66.58,71.33,80.78,83.83,87.62,81.25,63.95,53.2,49.45
Amarillo,TX,38.26,39.75,44.73,56.97,61.74,71.98,79.37,81.22,75.52,51.46,42.97,40.84
Lubbock,TX,43.18,45.65,49.65,62.53,67.85,77.1,82.37,84.48,77.58,57.93,48.82,45.87
Abilene,TX,44.84,49.42,51.72,65.27,70.31,78.11,82.76,87.28,83.1,63.4,51.59,48.62
Wichita Falls,TX,42.1,45.83,50.5,63.7,70.3,77.9,82.6,86.37,82.47,61.2,49.8,46.67
Odessa,TX,45.71,50.8,53.92,65.96,70.72,80.44,83.12,87.31,80.4,63.64,52.23,48.89
Tyler,TX,47.63,52.5,55.95,65.7,74.67,78.98,83.1,86.47,83.97,66.8,54.22,51.15
Waco,TX,46.93,51.7,52.38,65,74.8,80.43,84.23,87.3,85.67,65.45,50.73,48.05
El Paso,TX,45.32,49.48,57.63,65.6,70.67,81.03,85.8,85.65,78.68,64.22,52.93,46.02
Victoria,TX,53.67,58.65,62.23,68.99,77.85,82.72,84.51,87.59,84.21,72.61,59.93,57.64
Laredo,TX,56.2,63.02,67.4,75.92,83,89.27,90.15,92.13,87.4,76.93,64.27,61.43
Longview,TX,46.36,51.62,55.01,64.64,74.89,79.07,82.16,85.47,82.45,65.69,52.42,50.45
Corpus Christi,TX,57.16,61.39,64.04,71.45,80.07,84.2,85.61,86.87,84.28,76.12,62.11,60.45
Logan,UT,22.26,26.56,36.7,47.86,52.72,62.7,72.56,70.81,60.2,40.15,36.3,23.35
Ogden,UT,26.6,28.57,37.41,47.21,51.88,62.8,74.39,72.06,61.46,41.09,38.6,28.95
Provo,UT,29.07,30.91,41.21,49.21,52.3,64.22,75.33,75.02,63.8,43.94,40.22,32.82
Salt Lake City,UT,28.74,30.95,38.04,46.93,50.87,63.17,74.28,72.87,61.38,42.53,38.73,30.65
St. George,UT,41.1,40.63,52.6,63.13,63.13,79.3,86.37,86.2,77.4,58.8,50.6,39.87
Virginia Beach,VA,42.49,47.92,48.96,63.21,73.26,76.81,81.07,79.14,75.34,66.68,49.82,48.06
Winchester,VA,32.08,35.23,40.52,55.62,66.63,70.9,78.25,74.75,73.5,58.33,41.35,36.95
Blacksburg,VA,32.59,38.6,40.49,54.37,66.42,67.45,73.76,71.76,70.49,58.02,39.57,38.83
Charlottesville,VA,35.98,41.73,44.51,58.81,69.53,71.98,78.67,75.47,73.64,60.74,44.31,41.78
Harrisonburg,VA,32,38.27,40.13,55.3,67.7,70.53,76.07,72.9,70.6,57.67,40.87,38.13
Richmond,VA,38.19,43.58,46.57,61.72,71.74,74.54,80.32,77.42,75.06,62.96,45.2,42.7
Roanoke,VA,34.09,41.23,42.98,56.72,68.46,69.58,76.01,73.83,72.32,59.61,41.83,40.9
Lynchburg,VA,35.7,42.23,44.3,59.43,69.53,71.87,78.53,76.37,74.63,61.17,NaN,43
Burlington,VT,16.69,21.38,30.23,44.47,54.48,65.77,74.8,70.09,61.73,51.5,32.63,26.83
Bremerton,WA,42.3,36.07,45.83,51.13,59.2,61.47,66.6,68.2,62.7,50.3,47.4,43.5
Kennewick,WA,36.64,25.47,36.52,55.17,63.48,69.41,73.12,74.77,65.97,48.63,38.79,35.61
Mount Vernon,WA,42.13,34.07,45.2,49.5,57.83,61.13,64.7,65.67,60.23,48.2,43.93,41.3
Olympia,WA,40.6,33.7,42.77,49.6,57.5,60.07,64.2,65.4,59.27,46.9,42.1,42
Seattle,WA,42.43,34.57,45.16,50.37,58.39,61.26,65.36,66.85,60.79,48.98,44.77,42.1
Spokane,WA,31.23,21.66,34.36,47.83,58.6,63.6,68.32,70.76,58.77,41.86,35.33,33.89
Walla Walla,WA,37.03,26.77,37.18,53.53,61.22,67.06,71.74,74.04,64.33,47.53,38.29,35.02
Bellingham,WA,41.9,33.45,44.27,50.67,58.27,60.88,63.87,64.37,59.65,48.55,44.1,41.5
Wenatchee,WA,31.79,21.71,33.63,44.25,54.67,58.67,62.97,66.54,54.7,40.3,36.25,30.82
Yakima,WA,33.08,23.58,34.98,51.3,60.67,65.93,69.88,72.13,61.03,43.98,36.6,31.98
La Crosse,WI,15.97,15.74,29.44,46.97,55.96,67.69,75.01,70.1,66.59,47.39,30.63,26.46
Janesville,WI,16.57,17.73,29.73,45,53.85,66.25,75.58,69.45,65.97,50.53,30.36,31.11
Milwaukee,WI,18.37,20.34,29.66,44.55,52.97,63.48,73.23,68.12,64.97,48.19,31.02,30.65
Oshkosh,WI,15.75,17.07,28.25,44.62,53.98,66.07,74.13,68.6,65,48.23,30.82,28.13
Madison,WI,16.59,18.3,30.27,46.4,55.13,66.29,74.87,68.2,65.76,47.93,30.57,30.11
Sheboygan,WI,16.9,18.77,27.87,43.04,50.97,61.42,71.3,67.14,63.28,46.96,30.87,28.43
Wausau,WI,12.08,11.65,23.27,41.12,51.75,63.92,71.15,65.3,61.1,43.75,27.3,20.9
Green Bay,WI,14.9,16.71,27.29,42.77,52.59,63.46,71.72,66.66,63.11,46.91,30.23,25.76
Eau Claire,WI,13.27,13.25,26.12,44.32,54.13,65.7,72.65,67.95,64.75,45.73,29.53,22.2
Racine,WI,20.59,23.56,31.33,45.41,53.11,62.81,73.67,69.84,66.52,49.42,33.07,32.64
Huntington,WV,34.82,41.53,42.72,57.76,68.82,71.72,78.16,75.25,73.72,60.09,41.03,40.67
Wheeling,WV,30.01,34.22,37.49,54.06,64.82,68.42,75.62,72.59,70.42,57.52,38.77,36.29
Parkersburg,WV,31.33,37.47,40.51,55.68,66.93,70.8,77.94,74.51,73.26,59.43,40.38,39.34
Morgantown,WV,31.68,35.19,38.91,55.1,65.03,68.11,74.9,72.09,70.34,58.01,39.57,37.54
Charleston,WV,33.77,40.75,40.76,59.45,67.83,70.49,77.05,74.66,73.21,60.05,39.42,40.6
Beckley,WV,30.5,39.57,39.47,54.76,64.9,66.07,72.51,69.92,70.13,56.52,38.47,38.99
Cheyenne,WY,30.9,25.85,31.18,43.88,46.77,60.28,69.9,69.97,63.48,39.75,33.87,31.25
Casper,WY,24.91,20.19,28.37,41.53,44.07,58.49,68.3,66.93,59.58,36.23,30.61,26.35
