msa_city,msa_state,msa,Personal_Income_2018,Personal_Income_2019
Houston-The Woodlands-Sugar Land,TX,"Houston-The Woodlands-Sugar Land, TX",56077,58993
Huntington-Ashland,WV-KY-OH,"Huntington-Ashland, WV-KY-OH",40299,42340
Huntsville,AL,"Huntsville, AL",49595,51396
Idaho Falls,ID,"Idaho Falls, ID",45477,47374
Indianapolis-Carmel-Anderson,IN,"Indianapolis-Carmel-Anderson, IN",54179,55870
Iowa City,IA,"Iowa City, IA",53280,55505
Ithaca,NY,"Ithaca, NY",45282,47596
Jackson,MI,"Jackson, MI",39832,41146
Jackson,MS,"Jackson, MS",43772,44893
Jackson,TN,"Jackson, TN",40226,41509
Jacksonville,FL,"Jacksonville, FL",49754,51987
Jacksonville,NC,"Jacksonville, NC",46142,46276
Janesville-Beloit,WI,"Janesville-Beloit, WI",44204,45918
Jefferson City,MO,"Jefferson City, MO",43802,45623
Johnson City,TN,"Johnson City, TN",40360,41796
Johnstown,PA,"Johnstown, PA",43420,45442
Jonesboro,AR,"Jonesboro, AR",36588,37748
Joplin,MO,"Joplin, MO",39765,40890
Kahului-Wailuku-Lahaina,HI,"Kahului-Wailuku-Lahaina, HI",49040,51085
Kalamazoo-Portage,MI,"Kalamazoo-Portage, MI",48723,50504
Kankakee,IL,"Kankakee, IL",41290,42846
Kansas City,MO-KS,"Kansas City, MO-KS",53788,55695
Kennewick-Richland,WA,"Kennewick-Richland, WA",44256,45371
Killeen-Temple,TX,"Killeen-Temple, TX",41634,42697
Kingsport-Bristol,TN-VA,"Kingsport-Bristol, TN-VA",40042,41579
Kingston,NY,"Kingston, NY",50462,52733
Knoxville,TN,"Knoxville, TN",45739,47379
Kokomo,IN,"Kokomo, IN",41842,43332
La Crosse-Onalaska,WI-MN,"La Crosse-Onalaska, WI-MN",50412,52553
Lafayette,LA,"Lafayette, LA",44273,46311
Lafayette-West Lafayette,IN,"Lafayette-West Lafayette, IN",39969,41929
Lake Charles,LA,"Lake Charles, LA",49011,51406
Lake Havasu City-Kingman,AZ,"Lake Havasu City-Kingman, AZ",33148,34679
Lakeland-Winter Haven,FL,"Lakeland-Winter Haven, FL",35463,36579
Lancaster,PA,"Lancaster, PA",52664,55388
Lansing-East Lansing,MI,"Lansing-East Lansing, MI",41812,43341
Laredo,TX,"Laredo, TX",31635,32791
Las Cruces,NM,"Las Cruces, NM",36570,37645
Las Vegas-Henderson-Paradise,NV,"Las Vegas-Henderson-Paradise, NV",47090,48954
Lawrence,KS,"Lawrence, KS",43642,45447
Lawton,OK,"Lawton, OK",41509,42896
Lebanon,PA,"Lebanon, PA",48352,50585
Lewiston,ID-WA,"Lewiston, ID-WA",45368,47176
Lewiston-Auburn,ME,"Lewiston-Auburn, ME",41528,43238
Lexington-Fayette,KY,"Lexington-Fayette, KY",47875,49460
Lima,OH,"Lima, OH",42816,44779
Lincoln,NE,"Lincoln, NE",49886,52027
Little Rock-North Little Rock-Conway,AR,"Little Rock-North Little Rock-Conway, AR",45512,46844
Logan,UT-ID,"Logan, UT-ID",38690,40445
Longview,TX,"Longview, TX",41630,42938
Longview,WA,"Longview, WA",44990,46661
Los Angeles-Long Beach-Anaheim,CA,"Los Angeles-Long Beach-Anaheim, CA",63913,66780
Louisville/Jefferson County,KY-IN,"Louisville/Jefferson County, KY-IN",50101,52029
Lubbock,TX,"Lubbock, TX",42181,43548
Lynchburg,VA,"Lynchburg, VA",40374,41839
Macon-Bibb County,GA,"Macon-Bibb County, GA",41066,42624
Madera,CA,"Madera, CA",39897,41316
Madison,WI,"Madison, WI",59371,61854
Manchester-Nashua,NH,"Manchester-Nashua, NH",61147,63550
Manhattan,KS,"Manhattan, KS",46008,47497
Mankato,MN,"Mankato, MN",46141,47514
Mansfield,OH,"Mansfield, OH",39234,40751
McAllen-Edinburg-Mission,TX,"McAllen-Edinburg-Mission, TX",26410,27086
Medford,OR,"Medford, OR",46603,48432
Memphis,TN-MS-AR,"Memphis, TN-MS-AR",46620,48250
Merced,CA,"Merced, CA",38519,39418
Miami-Fort Lauderdale-Pompano Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",57228,60639
Michigan City-La Porte,IN,"Michigan City-La Porte, IN",42527,44382
Midland,MI,"Midland, MI",60467,68459
Midland,TX,"Midland, TX",122247,157756
Milwaukee-Waukesha,WI,"Milwaukee-Waukesha, WI",57005,59443
Minneapolis-St. Paul-Bloomington,MN-WI,"Minneapolis-St. Paul-Bloomington, MN-WI",62889,65294
Missoula,MT,"Missoula, MT",49492,52109
Mobile,AL,"Mobile, AL",38170,39327
Modesto,CA,"Modesto, CA",44120,45539
Monroe,LA,"Monroe, LA",40482,41736
Monroe,MI,"Monroe, MI",47496,49484
Montgomery,AL,"Montgomery, AL",42943,44161
Morgantown,WV,"Morgantown, WV",42509,44431
Morristown,TN,"Morristown, TN",35829,36971
Mount Vernon-Anacortes,WA,"Mount Vernon-Anacortes, WA",53060,55863
Muncie,IN,"Muncie, IN",37201,38563
Muskegon,MI,"Muskegon, MI",39072,40575
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",38700,39815
Napa,CA,"Napa, CA",74984,79000
Naples-Marco Island,FL,"Naples-Marco Island, FL",92686,97564
Nashville-Davidson--Murfreesboro--Franklin,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",57953,60204
New Bern,NC,"New Bern, NC",43257,44426
New Haven-Milford,CT,"New Haven-Milford, CT",56650,58789
New Orleans-Metairie,LA,"New Orleans-Metairie, LA",52431,54662
New York-Newark-Jersey City,NY-NJ-PA,"New York-Newark-Jersey City, NY-NJ-PA",76681,81125
Niles,MI,"Niles, MI",47430,49234
North Port-Sarasota-Bradenton,FL,"North Port-Sarasota-Bradenton, FL",56462,58963
Norwich-New London,CT,"Norwich-New London, CT",59264,61630
Ocala,FL,"Ocala, FL",36997,38309
Ocean City,NJ,"Ocean City, NJ",60877,63477
Odessa,TX,"Odessa, TX",47271,52951
Ogden-Clearfield,UT,"Ogden-Clearfield, UT",43988,45846
Oklahoma City,OK,"Oklahoma City, OK",48571,50770
Olympia-Lacey-Tumwater,WA,"Olympia-Lacey-Tumwater, WA",51684,54015
Omaha-Council Bluffs,NE-IA,"Omaha-Council Bluffs, NE-IA",58037,60571
Orlando-Kissimmee-Sanford,FL,"Orlando-Kissimmee-Sanford, FL",43491,45395
Oshkosh-Neenah,WI,"Oshkosh-Neenah, WI",48101,49919
Owensboro,KY,"Owensboro, KY",41387,42770
Oxnard-Thousand Oaks-Ventura,CA,"Oxnard-Thousand Oaks-Ventura, CA",61712,64139
Palm Bay-Melbourne-Titusville,FL,"Palm Bay-Melbourne-Titusville, FL",45425,47358
Panama City,FL,"Panama City, FL",43231,44386
Parkersburg-Vienna,WV,"Parkersburg-Vienna, WV",41988,44287
Pensacola-Ferry Pass-Brent,FL,"Pensacola-Ferry Pass-Brent, FL",43259,44811
Peoria,IL,"Peoria, IL",48870,50687
Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",64440,66735
Phoenix-Mesa-Chandler,AZ,"Phoenix-Mesa-Chandler, AZ",46125,48075
Pine Bluff,AR,"Pine Bluff, AR",34554,35700
Pittsburgh,PA,"Pittsburgh, PA",58072,61559
Pittsfield,MA,"Pittsfield, MA",56503,58566
Pocatello,ID,"Pocatello, ID",38038,39375
Portland-South Portland,ME,"Portland-South Portland, ME",57751,60558
Portland-Vancouver-Hillsboro,OR-WA,"Portland-Vancouver-Hillsboro, OR-WA",56991,59847
Port St. Lucie,FL,"Port St. Lucie, FL",54228,56400
Poughkeepsie-Newburgh-Middletown,NY,"Poughkeepsie-Newburgh-Middletown, NY",53811,56151
Prescott Valley-Prescott,AZ,"Prescott Valley-Prescott, AZ",40312,42358
Providence-Warwick,RI-MA,"Providence-Warwick, RI-MA",54585,56896
Provo-Orem,UT,"Provo-Orem, UT",40831,42678
Pueblo,CO,"Pueblo, CO",39511,41264
Punta Gorda,FL,"Punta Gorda, FL",41564,42753
Racine,WI,"Racine, WI",49749,52220
Raleigh-Cary,NC,"Raleigh-Cary, NC",55045,57190
Rapid City,SD,"Rapid City, SD",49681,51247
Reading,PA,"Reading, PA",49945,52123
Redding,CA,"Redding, CA",46582,48256
Reno,NV,"Reno, NV",59639,63710
Richmond,VA,"Richmond, VA",57301,59529
Riverside-San Bernardino-Ontario,CA,"Riverside-San Bernardino-Ontario, CA",40486,41915
Roanoke,VA,"Roanoke, VA",46963,48362
Rochester,MN,"Rochester, MN",55323,58158
Rochester,NY,"Rochester, NY",51167,53339
Rockford,IL,"Rockford, IL",44328,46320
Rocky Mount,NC,"Rocky Mount, NC",39498,41019
Rome,GA,"Rome, GA",38524,39823
Sacramento-Roseville-Folsom,CA,"Sacramento-Roseville-Folsom, CA",56278,58304
Saginaw,MI,"Saginaw, MI",38754,39815
St. Cloud,MN,"St. Cloud, MN",46513,48392
St. George,UT,"St. George, UT",38847,41059
St. Joseph,MO-KS,"St. Joseph, MO-KS",39253,40635
St. Louis,MO-IL,"St. Louis, MO-IL",55883,58218
