Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",3.5,89,2020,3,Portland-Vancouver-Hillsboro,OR-WA
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",3.5,89,2020,3,San Francisco-Oakland-Hayward,CA
"Wichita, KS Metropolitan Statistical Area",3.5,89,2020,3,Wichita,KS
"Asheville, NC Metropolitan Statistical Area",3.6,97,2020,3,Asheville,NC
"Billings, MT Metropolitan Statistical Area",3.6,97,2020,3,Billings,MT
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",3.6,97,2020,3,Des Moines-West Des Moines,IA
"Durham-Chapel Hill, NC Metropolitan Statistical Area",3.6,97,2020,3,Durham-Chapel Hill,NC
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",3.6,97,2020,3,Florence-Muscle Shoals,AL
"Jefferson City, MO Metropolitan Statistical Area",3.6,97,2020,3,Jefferson City,MO
"Rapid City, SD Metropolitan Statistical Area",3.6,97,2020,3,Rapid City,SD
"Santa Rosa, CA Metropolitan Statistical Area",3.6,97,2020,3,Santa Rosa,CA
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",3.6,97,2020,3,Virginia Beach-Norfolk-Newport News,VA-NC
"Worcester, MA-CT Metropolitan NECTA",3.6,97,2020,3,Worcester,MA-CT
"Bangor, ME Metropolitan NECTA",3.7,107,2020,3,Bangor,ME
"Battle Creek, MI Metropolitan Statistical Area",3.7,107,2020,3,Battle Creek,MI
"Chattanooga, TN-GA Metropolitan Statistical Area",3.7,107,2020,3,Chattanooga,TN-GA
"College Station-Bryan, TX Metropolitan Statistical Area",3.7,107,2020,3,College Station-Bryan,TX
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",3.7,107,2020,3,Crestview-Fort Walton Beach-Destin,FL
"Eau Claire, WI Metropolitan Statistical Area",3.7,107,2020,3,Eau Claire,WI
"Great Falls, MT Metropolitan Statistical Area",3.7,107,2020,3,Great Falls,MT
"Ithaca, NY Metropolitan Statistical Area",3.7,107,2020,3,Ithaca,NY
"Lubbock, TX Metropolitan Statistical Area",3.7,107,2020,3,Lubbock,TX
"New Haven, CT Metropolitan NECTA",3.7,107,2020,3,New Haven,CT
"Raleigh, NC Metropolitan Statistical Area",3.7,107,2020,3,Raleigh,NC
"Sumter, SC Metropolitan Statistical Area",3.7,107,2020,3,Sumter,SC
"Cheyenne, WY Metropolitan Statistical Area",3.8,119,2020,3,Cheyenne,WY
"Danville, IL Metropolitan Statistical Area",3.8,119,2020,3,Danville,IL
