Metropolitan area,Unemployment Rate,Rank,Year,Month,City/Area,State
"Prescott, AZ Metropolitan Statistical Area",5.1,277,2020,3,Prescott,AZ
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",5.1,277,2020,3,Riverside-San Bernardino-Ontario,CA
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",5.1,277,2020,3,Sebastian-Vero Beach,FL
"Utica-Rome, NY Metropolitan Statistical Area",5.1,277,2020,3,Utica-Rome,NY
"Victoria, TX Metropolitan Statistical Area",5.1,277,2020,3,Victoria,TX
"Albany, GA Metropolitan Statistical Area",5.2,287,2020,3,Albany,GA
"Anchorage, AK Metropolitan Statistical Area",5.2,287,2020,3,Anchorage,AK
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.2,287,2020,3,Buffalo-Cheektowaga-Niagara Falls,NY
"Laredo, TX Metropolitan Statistical Area",5.2,287,2020,3,Laredo,TX
"Lebanon, PA Metropolitan Statistical Area",5.2,287,2020,3,Lebanon,PA
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",5.2,287,2020,3,Mount Vernon-Anacortes,WA
"Ocala, FL Metropolitan Statistical Area",5.2,287,2020,3,Ocala,FL
"Owensboro, KY Metropolitan Statistical Area",5.2,287,2020,3,Owensboro,KY
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",5.2,287,2020,3,Spokane-Spokane Valley,WA
"Tucson, AZ Metropolitan Statistical Area",5.2,287,2020,3,Tucson,AZ
"Albuquerque, NM Metropolitan Statistical Area",5.3,297,2020,3,Albuquerque,NM
"Kennewick-Richland, WA Metropolitan Statistical Area",5.3,297,2020,3,Kennewick-Richland,WA
"Longview, TX Metropolitan Statistical Area",5.3,297,2020,3,Longview,TX
"New Bedford, MA Metropolitan NECTA",5.3,297,2020,3,New Bedford,MA
"Reno, NV Metropolitan Statistical Area",5.3,297,2020,3,Reno,NV
"Baton Rouge, LA Metropolitan Statistical Area",5.4,302,2020,3,Baton Rouge,LA
"Bowling Green, KY Metropolitan Statistical Area",5.4,302,2020,3,Bowling Green,KY
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",5.4,302,2020,3,Chambersburg-Waynesboro,PA
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.4,302,2020,3,Seattle-Tacoma-Bellevue,WA
"Texarkana, TX-AR Metropolitan Statistical Area",5.4,302,2020,3,Texarkana,TX-AR
"Toledo, OH Metropolitan Statistical Area",5.4,302,2020,3,Toledo,OH
"Wenatchee, WA Metropolitan Statistical Area",5.4,302,2020,3,Wenatchee,WA
"Barnstable Town, MA Metropolitan NECTA",5.5,309,2020,3,Barnstable Town,MA
"Colorado Springs, CO Metropolitan Statistical Area",5.5,309,2020,3,Colorado Springs,CO
"Cumberland, MD-WV Metropolitan Statistical Area",5.5,309,2020,3,Cumberland,MD-WV
"Dover, DE Metropolitan Statistical Area",5.5,309,2020,3,Dover,DE
"Fayetteville, NC Metropolitan Statistical Area",5.5,309,2020,3,Fayetteville,NC
"Glens Falls, NY Metropolitan Statistical Area",5.5,309,2020,3,Glens Falls,NY
"Rocky Mount, NC Metropolitan Statistical Area",5.5,309,2020,3,Rocky Mount,NC
"Akron, OH Metropolitan Statistical Area",5.6,316,2020,3,Akron,OH
"Binghamton, NY Metropolitan Statistical Area",5.6,316,2020,3,Binghamton,NY
"Lake Charles, LA Metropolitan Statistical Area",5.6,316,2020,3,Lake Charles,LA
"Longview, WA Metropolitan Statistical Area",5.6,316,2020,3,Longview,WA
"New Orleans-Metairie, LA Metropolitan Statistical Area",5.6,316,2020,3,New Orleans-Metairie,LA
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",5.6,316,2020,3,Santa Maria-Santa Barbara,CA
"Springfield, OH Metropolitan Statistical Area",5.6,316,2020,3,Springfield,OH
"Corpus Christi, TX Metropolitan Statistical Area",5.7,323,2020,3,Corpus Christi,TX
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",5.7,323,2020,3,Elizabethtown-Fort Knox,KY
"Houma-Thibodaux, LA Metropolitan Statistical Area",5.7,323,2020,3,Houma-Thibodaux,LA
"Lima, OH Metropolitan Statistical Area",5.7,323,2020,3,Lima,OH
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",5.7,323,2020,3,Los Angeles-Long Beach-Anaheim,CA
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",5.8,328,2020,3,Allentown-Bethlehem-Easton,PA-NJ
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",5.8,328,2020,3,Atlantic City-Hammonton,NJ
"Salisbury, MD-DE Metropolitan Statistical Area",5.8,328,2020,3,Salisbury,MD-DE
"Charleston, WV Metropolitan Statistical Area",5.9,331,2020,3,Charleston,WV
"Reading, PA Metropolitan Statistical Area",5.9,331,2020,3,Reading,PA
"Mansfield, OH Metropolitan Statistical Area",6.0,333,2020,3,Mansfield,OH
"Canton-Massillon, OH Metropolitan Statistical Area",6.1,334,2020,3,Canton-Massillon,OH
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",6.1,334,2020,3,Huntington-Ashland,WV-KY-OH
"Lafayette, LA Metropolitan Statistical Area",6.1,334,2020,3,Lafayette,LA
"Sebring, FL Metropolitan Statistical Area",6.1,334,2020,3,Sebring,FL
"Altoona, PA Metropolitan Statistical Area",6.2,338,2020,3,Altoona,PA
"Pittsburgh, PA Metropolitan Statistical Area",6.2,338,2020,3,Pittsburgh,PA
"Alexandria, LA Metropolitan Statistical Area",6.3,340,2020,3,Alexandria,LA
"Grand Junction, CO Metropolitan Statistical Area",6.3,340,2020,3,Grand Junction,CO
"The Villages, FL Metropolitan Statistical Area",6.3,340,2020,3,The Villages,FL
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",6.3,340,2020,3,Vineland-Bridgeton,NJ
"Bloomsburg-Berwick, PA Metropolitan Statistical Area",6.4,344,2020,3,Bloomsburg-Berwick,PA
"Shreveport-Bossier City, LA Metropolitan Statistical Area",6.4,344,2020,3,Shreveport-Bossier City,LA
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",6.5,346,2020,3,Sierra Vista-Douglas,AZ
"Homosassa Springs, FL Metropolitan Statistical Area",6.6,347,2020,3,Homosassa Springs,FL
"Parkersburg-Vienna, WV Metropolitan Statistical Area",6.6,347,2020,3,Parkersburg-Vienna,WV
"Beckley, WV Metropolitan Statistical Area",6.7,349,2020,3,Beckley,WV
"Carson City, NV Metropolitan Statistical Area",6.7,349,2020,3,Carson City,NV
"Chico, CA Metropolitan Statistical Area",6.7,349,2020,3,Chico,CA
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",6.7,349,2020,3,Lake Havasu City-Kingman,AZ
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",6.7,349,2020,3,Las Vegas-Henderson-Paradise,NV
"Hammond, LA Metropolitan Statistical Area",6.8,354,2020,3,Hammond,LA
"Redding, CA Metropolitan Statistical Area",6.8,354,2020,3,Redding,CA
"Yakima, WA Metropolitan Statistical Area",6.8,354,2020,3,Yakima,WA
"Erie, PA Metropolitan Statistical Area",6.9,357,2020,3,Erie,PA
"Monroe, LA Metropolitan Statistical Area",6.9,357,2020,3,Monroe,LA
"Pine Bluff, AR Metropolitan Statistical Area",6.9,357,2020,3,Pine Bluff,AR
"Pueblo, CO Metropolitan Statistical Area",6.9,357,2020,3,Pueblo,CO
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",7.0,361,2020,3,Weirton-Steubenville,WV-OH
"Flagstaff, AZ Metropolitan Statistical Area",7.1,362,2020,3,Flagstaff,AZ
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",7.2,363,2020,3,Youngstown-Warren-Boardman,OH-PA
"Cleveland-Elyria, OH Metropolitan Statistical Area",7.3,364,2020,3,Cleveland-Elyria,OH
"Farmington, NM Metropolitan Statistical Area",7.3,364,2020,3,Farmington,NM
"Brownsville-Harlingen, TX Metropolitan Statistical Area",7.4,366,2020,3,Brownsville-Harlingen,TX
"East Stroudsburg, PA Metropolitan Statistical Area",7.4,366,2020,3,East Stroudsburg,PA
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",7.4,366,2020,3,Scranton--Wilkes-Barre--Hazleton,PA
"Williamsport, PA Metropolitan Statistical Area",7.4,366,2020,3,Williamsport,PA
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",7.5,370,2020,3,Beaumont-Port Arthur,TX
"Las Cruces, NM Metropolitan Statistical Area",7.5,370,2020,3,Las Cruces,NM
"Watertown-Fort Drum, NY Metropolitan Statistical Area",7.5,370,2020,3,Watertown-Fort Drum,NY
"Wheeling, WV-OH Metropolitan Statistical Area",7.6,373,2020,3,Wheeling,WV-OH
"Johnstown, PA Metropolitan Statistical Area",7.7,374,2020,3,Johnstown,PA
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",7.9,375,2020,3,Santa Cruz-Watsonville,CA
"Modesto, CA Metropolitan Statistical Area",8.3,376,2020,3,Modesto,CA
"Stockton-Lodi, CA Metropolitan Statistical Area",8.3,376,2020,3,Stockton-Lodi,CA
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",8.5,378,2020,3,McAllen-Edinburg-Mission,TX
"Yuba City, CA Metropolitan Statistical Area",10.0,379,2020,3,Yuba City,CA
"Madera, CA Metropolitan Statistical Area",10.5,380,2020,3,Madera,CA
"Fresno, CA Metropolitan Statistical Area",10.8,381,2020,3,Fresno,CA
"Ocean City, NJ Metropolitan Statistical Area",11.4,382,2020,3,Ocean City,NJ
"Salinas, CA Metropolitan Statistical Area",11.8,383,2020,3,Salinas,CA
"Bakersfield, CA Metropolitan Statistical Area",12.0,384,2020,3,Bakersfield,CA
"Hanford-Corcoran, CA Metropolitan Statistical Area",12.3,385,2020,3,Hanford-Corcoran,CA
"Merced, CA Metropolitan Statistical Area",12.9,386,2020,3,Merced,CA
"Visalia-Porterville, CA Metropolitan Statistical Area",14.5,387,2020,3,Visalia-Porterville,CA
"Yuma, AZ Metropolitan Statistical Area",14.8,388,2020,3,Yuma,AZ
"El Centro, CA Metropolitan Statistical Area",20.5,389,2020,3,El Centro,CA
