City/Area,State,Metropolitan area,Unified City,Unified State
Kahului-Wailuku-Lahaina,HI,"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",Kahului,HI
Urban Honolulu,HI,"Urban Honolulu, HI Metropolitan Statistical Area",Urban Honolulu,HI
Davenport-Moline-Rock Island,IA-IL,"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",Davenport,IA
Sioux City,IA-NE-SD,"Sioux City, IA-NE-SD Metropolitan Statistical Area",Sioux City,IA
Des Moines-West Des Moines,IA,"Des Moines-West Des Moines, IA Metropolitan Statistical Area",Des Moines,IA
Waterloo-Cedar Falls,IA,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",Waterloo,IA
Ames,IA,"Ames, IA Metropolitan Statistical Area",Ames,IA
Iowa City,IA,"Iowa City, IA Metropolitan Statistical Area",Iowa City,IA
Dubuque,IA,"Dubuque, IA Metropolitan Statistical Area",Dubuque,IA
Cedar Rapids,IA,"Cedar Rapids, IA Metropolitan Statistical Area",Cedar Rapids,IA
Lewiston,ID-WA,"Lewiston, ID-WA Metropolitan Statistical Area",Lewiston,ID
Idaho Falls,ID,"Idaho Falls, ID Metropolitan Statistical Area",Idaho Falls,ID
Boise City,ID,"Boise City, ID Metropolitan Statistical Area",Boise City,ID
Pocatello,ID,"Pocatello, ID Metropolitan Statistical Area",Pocatello,ID
Twin Falls,ID,"Twin Falls, ID Metropolitan Statistical Area",Twin Falls,ID
Coeur d'Alene,ID,"Coeur d'Alene, ID Metropolitan Statistical Area",Coeur d'Alene,ID
Chicago-Naperville-Elgin,IL-IN-WI,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",Chicago,IL
Carbondale-Marion,IL,"Carbondale-Marion, IL Metropolitan Statistical Area",Carbondale,IL
Champaign-Urbana,IL,"Champaign-Urbana, IL Metropolitan Statistical Area",Champaign,IL
Bloomington,IL,"Bloomington, IL Metropolitan Statistical Area",Bloomington,IL
Springfield,IL,"Springfield, IL Metropolitan Statistical Area",Springfield,IL
Danville,IL,"Danville, IL Metropolitan Statistical Area",Danville,IL
Peoria,IL,"Peoria, IL Metropolitan Statistical Area",Peoria,IL
Kankakee,IL,"Kankakee, IL Metropolitan Statistical Area",Kankakee,IL
Decatur,IL,"Decatur, IL Metropolitan Statistical Area",Decatur,IL
Rockford,IL,"Rockford, IL Metropolitan Statistical Area",Rockford,IL
South Bend-Mishawaka,IN-MI,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",South Bend,IN
Evansville,IN-KY,"Evansville, IN-KY Metropolitan Statistical Area",Evansville,IN
Indianapolis-Carmel-Anderson,IN,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",Indianapolis,IN
Lafayette-West Lafayette,IN,"Lafayette-West Lafayette, IN Metropolitan Statistical Area",Lafayette,IN
Michigan City-La Porte,IN,"Michigan City-La Porte, IN Metropolitan Statistical Area",Michigan City,IN
Columbus,IN,"Columbus, IN Metropolitan Statistical Area",Columbus,IN
Elkhart-Goshen,IN,"Elkhart-Goshen, IN Metropolitan Statistical Area",Elkhart,IN
Fort Wayne,IN,"Fort Wayne, IN Metropolitan Statistical Area",Fort Wayne,IN
Bloomington,IN,"Bloomington, IN Metropolitan Statistical Area",Bloomington,IN
Muncie,IN,"Muncie, IN Metropolitan Statistical Area",Muncie,IN
Kokomo,IN,"Kokomo, IN Metropolitan Statistical Area",Kokomo,IN
Terre Haute,IN,"Terre Haute, IN Metropolitan Statistical Area",Terre Haute,IN
Manhattan,KS,"Manhattan, KS Metropolitan Statistical Area",Manhattan,KS
Lawrence,KS,"Lawrence, KS Metropolitan Statistical Area",Lawrence,KS
Topeka,KS,"Topeka, KS Metropolitan Statistical Area",Topeka,KS
Wichita,KS,"Wichita, KS Metropolitan Statistical Area",Wichita,KS
Louisville/Jefferson County,KY-IN,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",Louisville/Jefferson County,KY
Elizabethtown-Fort Knox,KY,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",Elizabethtown,KY
Lexington-Fayette,KY,"Lexington-Fayette, KY Metropolitan Statistical Area",Lexington,KY
Owensboro,KY,"Owensboro, KY Metropolitan Statistical Area",Owensboro,KY
Bowling Green,KY,"Bowling Green, KY Metropolitan Statistical Area",Bowling Green,KY
Houma-Thibodaux,LA,"Houma-Thibodaux, LA Metropolitan Statistical Area",Houma,LA
New Orleans-Metairie,LA,"New Orleans-Metairie, LA Metropolitan Statistical Area",New Orleans,LA
Shreveport-Bossier City,LA,"Shreveport-Bossier City, LA Metropolitan Statistical Area",Shreveport,LA
Baton Rouge,LA,"Baton Rouge, LA Metropolitan Statistical Area",Baton Rouge,LA
Lake Charles,LA,"Lake Charles, LA Metropolitan Statistical Area",Lake Charles,LA
Lafayette,LA,"Lafayette, LA Metropolitan Statistical Area",Lafayette,LA
